filename,human_scene_word_count,summary_word_count,LLM_scene_word_count,human_scene_sentence_count,human_scene_avg_sentence_length,summary_sentence_count,summary_avg_sentence_length,LLM_scene_sentence_count,LLM_scene_avg_sentence_length,human_scene_TTR,summary_TTR,LLM_scene_TTR,human_scene_CTTR,summary_CTTR,LLM_scene_CTTR,human_scene_MTLD,summary_MTLD,LLM_scene_MTLD
episode_4_scene_6.txt,233,30,373,37,6.297297297297297,3,10.0,70,5.328571428571428,0.575107296137339,0.8333333333333334,0.5227882037533512,6.207430131801865,3.227486121839514,7.1394572528975715,58.54128509458971,50.40000000000001,93.84775641025641
episode_5_scene_11.txt,203,29,328,29,7.0,4,7.25,56,5.857142857142857,0.5665024630541872,0.9310344827586207,0.5670731707317073,5.707354170332849,3.545273687212509,7.262079927820182,61.280805573093346,117.73999999999998,111.44474689860527
episode_5_scene_13.txt,226,36,363,38,5.947368421052632,4,9.0,51,7.117647058823529,0.5752212389380531,0.8888888888888888,0.4765840220385675,6.114685644493382,3.771236166328254,6.420632204568028,50.88593004769476,90.71999999999997,69.16466876971609
episode_5_scene_3.txt,202,32,194,30,6.733333333333333,3,10.666666666666666,47,4.127659574468085,0.5495049504950495,0.84375,0.5412371134020618,5.52245640566544,3.375,5.330567366951501,73.61264148988526,57.34400000000001,68.43837998985327
episode_5_scene_7.txt,246,33,284,32,7.6875,2,16.5,56,5.071428571428571,0.524390243902439,0.7575757575757576,0.5140845070422535,5.815769143604938,3.077287274483318,6.12602391556583,76.37593802840519,38.115,89.2694792854428
episode_5_scene_8.txt,173,22,436,30,5.766666666666667,2,11.0,90,4.844444444444444,0.5144508670520231,0.9090909090909091,0.46788990825688076,4.784669642077186,3.015113445777636,6.908311707081683,56.73556088681251,67.75999999999998,63.63075616056743
episode_5_scene_9.txt,294,34,387,46,6.391304347826087,4,8.5,72,5.375,0.48639455782312924,0.7058823529411765,0.4883720930232558,5.897220606722606,2.9104275004359956,6.79346471181662,47.93025532251265,27.97163120567376,67.122341965083
episode_6_scene_12.txt,168,25,275,18,9.333333333333334,3,8.333333333333334,37,7.4324324324324325,0.5773809523809523,0.76,0.5381818181818182,5.291783838222815,2.6870057685088806,6.310741204126068,58.04746625840547,29.16666666666667,83.17808101075336
episode_6_scene_22.txt,299,21,296,30,9.966666666666667,2,10.5,44,6.7272727272727275,0.5351170568561873,0.9047619047619048,0.597972972972973,6.542886560876246,2.931763649279746,7.27465518826206,69.08712121212122,61.74000000000001,101.96208649913368
episode_6_scene_4.txt,282,36,312,35,8.057142857142857,3,12.0,51,6.117647058823529,0.599290780141844,0.8333333333333334,0.5705128205128205,7.116183733012085,3.5355339059327378,7.125702844326377,72.74886871893077,60.48000000000001,119.31423048385207
episode_6_scene_5.txt,270,20,323,38,7.105263157894737,2,10.0,65,4.969230769230769,0.4925925925925926,0.95,0.5356037151702786,5.723408722728738,3.00416377715996,6.806593961904082,64.96621621621621,111.99999999999991,104.71203805342115
episode_6_scene_8.txt,232,35,330,28,8.285714285714286,3,11.666666666666666,43,7.674418604651163,0.5646551724137931,0.8857142857142857,0.5303030303030303,6.081522325298449,3.70520868893662,6.811865761413326,81.72170200898844,85.74999999999997,90.89757617545297
episode_6_scene_9.txt,191,31,323,28,6.821428571428571,3,10.333333333333334,53,6.09433962264151,0.5759162303664922,0.7741935483870968,0.4953560371517028,5.628089611063159,3.048003048004572,6.29511580291707,74.76585151063541,38.440000000000005,80.83026838966202
